,budget,genres,id,keywords,title,overview,popularity,production,runtime,tagline,vote_average,vote_count
524,75000000,comedy  drama  history,6538,washington d c   alcohol  cia  helicopter  refugee camp  congress  cold war  ladykiller  rocket launcher  russian  munition  war in afghanistan  dollar,charlie wilson s war,The true story of Texas congressman Charlie Wilson s covert dealings in Afghanistan  where his efforts to assist rebels in their war with the Soviets had some unforeseen and long reaching effects ,18.70031,universal pictures  participant productions  playtone production,102.0,based on a true story  you think we could make all this up ,6.5,338
526,70000000,drama,1125,music record  manager  black people  adultery  soul  show business  drug addiction  oscar award  musical  deceived wife  recording contract  background singer  motown  the supremes  record producer  single  singer  singing  detroit  alcoholic  extramarital affair  music band,dreamgirls,Three young women   Deena Jones  Effie White and Lorrell Robinson   dream of becoming pop stars and they get their wish when they re chosen to be backup singers for the legendary James  Thunder  Early ,14.486311,paramount pictures  dreamworks skg  laurence mark productions,134.0,one dream will change everything,6.6,284
530,75000000,action  comedy  thriller  romance,37821,assassin,killers,When an elite assassin marries a beautiful computer whiz after a whirlwind romance  he gives up the gun and settles down with his new bride  That is  until he learns that someone from his past has put a contract out on his life ,23.004607,katalyst films  lionsgate  aversano films,100.0,perfect wife  perfect target ,5.7,772
533,75000000,animation  comedy  family  fantasy,9297,monster  secret  toy  children  neighbor  mission  child,monster house,Monsters under the bed are scary enough  but what happens when an entire house is out to get you  Three teens aim to find out when they go up against a decrepit neighboring home and unlock its frightening secrets ,36.368839,columbia pictures  amblin entertainment  sony pictures animation  sony pictures entertainment  imagemovers,91.0,the house is       alive ,6.3,874
537,75000000,fantasy  action  drama,37958,poison  army  zeus  poseidon  spear,immortals,Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion  who is on a rampage across Greece to obtain a weapon that can destroy humanity ,37.917002,virgin produced  mark canton productions,110.0,the gods need a hero ,5.7,880
541,75000000,action  war  science fiction,9425,space marine  dystopia  alien planet  genetic engineering,soldier,Sergeant Todd is a veteran soldier for an elite group of the armed forces  After being defeated by a new breed of genetically engineered soldiers  he is dumped on a waste planet and left for dead  He soon interacts with a group of crash survivors who lead out a peaceful existence  The peace is broken as the new soldiers land on the planet to eliminate the colony  which Sergeant Todd must defend ,11.873856,impact pictures  jerry weintraub productions  warner bros   morgan creek productions,99.0,left for dead on a remote planet for obsolete machines and people  a fallen hero has one last battle to fight,6.1,221
546,74000000,family  animation  adventure  comedy,211672,assistant  aftercreditsstinger  duringcreditsstinger  evil mastermind  minions  3d,minions,Minions Stuart  Kevin and Bob are recruited by Scarlet Overkill  a super villain who  alongside her inventor husband Herb  hatches a plot to take over the world ,875.581305,universal pictures  illumination entertainment,91.0,before gru  they had a history of bad bosses,6.4,4571
547,82000000,action  fantasy  thriller,23629,brothel  fantasy  asylum  reality  escape  robot  violence  inmate  alternative  imagination  lobotomy,sucker punch,A young girl is institutionalized by her abusive stepfather  Retreating to an alternative reality as a coping strategy  she envisions a plan which will help her escape from the mental facility ,39.127082,legendary pictures  warner bros   lennox house films  cruel and unusual films,110.0,you will be unprepared,5.9,1623
549,75000000,science fiction,10153,ocean  extraterrestrial technology  space marine  paranoia  raumschiffabsturz  alien  psychologist  ocean floor  deepsea,sphere,The OSSA discovers a spacecraft thought to be at least 300 years old at the bottom of the ocean  Immediately following the discovery  they decide to send a team down to the depths of the ocean to study the space craft They are the best of best  smart and logical  and the perfect choice to learn more about the spacecraft ,18.65988,punch productions  warner bros   baltimore pictures  constant c productions,134.0,a thousand feet beneath the sea  the blackest holes are in the mind   ,5.8,476
550,73000000,family  animation,153518,island  bird  pig  talking animal  based on video game  anger management  3d,the angry birds movie,An island populated entirely by happy  flightless birds or almost entirely  In this paradise  Red  a bird with a temper problem  speedy Chuck  and the volatile Bomb have always been outsiders  But when the island is visited by mysterious green piggies  it s up to these unlikely outcasts to figure out what the pigs are up to ,45.720894,columbia pictures  rovio entertainment  sony pictures imageworks  spi   rovio mobile  rovio animation,97.0,why so angry ,5.9,1022
551,70000000,romance  comedy  adventure,8676,helicopter  cemetery  boat  mexican standoff  sword  cave  shipwreck  yacht  bahamas  jet ski  treasure hunt  rivalry  scuba diving  gangster  underwater  divorce  heiress  ex husband ex wife relationship  henchmen,fool s gold,Treasure hunter Ben  Finn  Finnegan has sunk his marriage to Tess and his trusty boat in his obsessive quest to find the legendary Queen s Dowry  When he finds a vital clue that may finally pinpoint the treasure s whereabouts  he drags Tess and her boss  billionaire Nigel Honeycutt  along on the hunt  But Finn is not the only one interested in the gold  his former mentor turned enemy Moe Fitch will stop at nothing to beat him to it ,21.789615,de line pictures  warner bros ,112.0,this february true love takes a dive ,5.4,444
552,75000000,comedy  drama,20829,comedian  cancer  bromance  stand up comedian,funny people,Famous and wealthy funnyman George Simmons doesn t give much thought to how he treats people until a doctor delivers stunning health news  forcing George to reevaluate his priorities with a little help from aspiring stand up comic Ira ,20.199057,columbia pictures  universal pictures  happy madison productions  relativity media  apatow productions  madison 23,146.0,george simmons was prepared to die  but then a funny thing happened ,5.7,390
553,70000000,thriller  action  drama,4349,assassination  assassin  terrorist  explosive  fbi  chase  saudi arabia  investigation  police  medical examiner  terrorism  fbi agent  arab  bomb attack,the kingdom,A team of U S  government agents is sent to investigate the bombing of an American facility in the Middle East ,26.123705,universal pictures  forward pass  relativity media  filmworks  mdbf zweite filmgesellschaft,110.0,how do you stop an enemy who isn t afraid to die ,6.5,513
554,72500000,comedy,9718,north carolina  prayer  family dinner  advertising  divorce  motor  automobile racing  nascar  dog trainer  car movie  sport competition  psychosomatic illness  french stereotype  aftercreditsstinger  duringcreditsstinger,talladega nights  the ballad of ricky bobby,Lifelong friends and national idols Ricky Bobby and Cal Naughton Jr  have earned their NASCAR stripes with their uncanny knack of finishing races in the first and second slots  respectively  and slinging catchphrases like  Shake and bake   But when a rival French driver coasts onto the track to challenge their records  they ll have to floor it to retain their top dog status ,12.599836,columbia pictures  apatow productions,116.0,the story of a man who could only count to  1,6.2,491
558,75000000,animation  comedy  family,35,father son relationship  lake  springfield  the simpsons  duff beer  garbage  pig  pollution  environmental protection agency  quarantine  alcoholism  love  alaska  dysfunctional family  dysfunctional marriage  ecology  saving lives  first love  duringcreditsstinger  donuts,the simpsons movie,After Homer accidentally pollutes the town s water supply  Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives ,46.875375,gracie films  twentieth century fox film corporation,87.0,see our family  and feel better about yours ,6.9,2264
565,150000000,adventure  animation  comedy  family  fantasy,809,prison  magic  liberation  honeymoon  parents in law  kingdom  enchantment  dancing scene  transformation  fairy tale figure,shrek 2,Shrek  Fiona and Donkey set off to Far  Far Away to meet Fiona s mother and father  But not everyone is happy  Shrek and the King find it hard to get along  and there s tension in the marriage  The fairy godmother discovers that Shrek has married Fiona instead of her Son Prince Charming and sets about destroying their marriage ,47.320801,dreamworks skg  pacific data images  pdi   dreamworks animation,93.0,once upon another time   ,6.7,2988
566,120000000,animation  adventure  comedy  family,920,car race  car journey  village and town  auto  route 66  wrecker  porsche  retirement  media  friendship  sport  anthropomorphism  los angeles  road movie  aftercreditsstinger  duringcreditsstinger,cars,Lightning McQueen  a hotshot rookie race car driven to succeed  discovers that life is about the journey  not the finish line  when he finds himself unexpectedly detoured in the sleepy Route 66 town of Radiator Springs  On route across the country to the big Piston Cup Championship in California to compete against two seasoned pros  McQueen gets to know the town s offbeat characters ,82.643036,walt disney pictures  pixar animation studios,117.0,ahhh    it s got that new movie smell ,6.6,3877
568,70000000,action  adventure  thriller,7451,sports car  biological weapon  cold war  russian  prague  mission  athlete  nsa agent  adrenaline junkie  thrill seeker,xxx,Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude  When the US Government  recruits  him to go on a mission  he s not exactly thrilled  His mission  to gather information on an organization that may just be planning the destruction of the world  led by the nihilistic Yorgi ,46.217769,columbia pictures  original film  revolution studios,124.0,a new breed of secret agent ,5.8,1424
569,74000000,animation  adventure  comedy  family,228165,ocean  sea  star  water  comedy  sponge  spongebob  live action and animation,the spongebob movie  sponge out of water,Burger Beard is a pirate who is in search of the final page of a magical book that makes any evil plan he writes in it come true  which happens to be the Krabby Patty secret formula  When the entire city of Bikini Bottom is put in danger  SpongeBob  Patrick  Mr  Krabs  Squidward  Sandy  and Plankton need to go on a quest that takes them to the surface  In order to get back the recipe and save their city  the gang must retrieve the book and transform themselves into superheroes ,36.952268,paramount pictures  nickelodeon movies  nickelodeon animation studios  united plankton pictures  disruption entertainment  paramount animation,93.0,he s leaving his world behind ,5.8,719
571,70000000,drama  action  thriller  war,16869,paris  guerrilla  cinema  self sacrifice  dynamite  mexican standoff  world war ii  jew persecution  jew  nazis  masochism  sadism  scalp  winston churchill  knife in hand  anti semitism  gore  swastika  blood bath  german occupation of france  violence  gun violence,inglourious basterds,In Nazi occupied France during World War II  a group of Jewish American soldiers known as  The Basterds  are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis  The Basterds  lead by Lt  Aldo Raine soon cross paths with a French Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers ,72.595961,universal pictures  a band apart  the weinstein company  zehnte babelsberg  visiona romantica,153.0,once upon a time in nazi occupied france   ,7.9,6430
574,80000000,action  thriller  crime,9257,liberation  transport of prisoners  special unit  weapon  los angeles,s w a t ,Hondo Harrelson recruits Jim Street to join an elite unit of the Los Angeles Police Department  Together they seek out more members  including tough Deke Kay and single mom Chris Sanchez  The team s first big assignment is to escort crime boss Alex Montel to prison  It seems routine  but when Montel offers a huge reward to anyone who can break him free  criminals of various stripes step up for the prize ,34.052253,original film  columbia pictures corporation  camelot pictures  chris lee productions  illusion entertainment,117.0,you re either s w a t  or you re not ,5.8,770
577,70000000,adventure  science fiction  action,395,saving the world  predator  laserpointer  space marine  pyramid  praise  alien  xenomorph,avp  alien vs  predator,When scientists discover something in the Arctic that appears to be a buried Pyramid  they send a research team out to investigate  Little do they know that they are about to step into a hunting ground where Aliens are grown as sport for the Predator race ,42.957216,impact pictures  studio babelsberg  twentieth century fox film corporation  davis entertainment  stillking films  brandywine productions  lonlink productions  kut productions  inside track films  charenton productions limited  revolution sun studios,101.0,whoever wins    we lose,5.5,1217
578,75000000,comedy  family  animation  fantasy  music,23398,chipmunk  cgi  based on tv series  aftercreditsstinger  duringcreditsstinger  woman director,alvin and the chipmunks  the squeakquel,Pop sensations Alvin  Simon and Theodore end up in the care of Dave Seville s twenty something nephew Toby  The boys must put aside music super stardom to return to school  and are tasked with saving the school s music program by winning the  25 000 prize in a battle of the bands  But the Chipmunks unexpectedly meet their match in three singing chipmunks known as The Chipettes   Brittany  Eleanor and Jeanette  Romantic and musical sparks are ignited when the Chipmunks and Chipettes square off ,29.412262,regency enterprises  fox 2000 pictures  bagdasarian productions,88.0,the boys are back in town    and they have competition ,5.4,666
582,70000000,action  science fiction,44943,saving the world  hero  marine corps  chaos  retirement  survivor  meteor  space invasion  alien  battlefield  survival  sergeant  los angeles  battle  danger  escapade  u s  marine  heroic mission  evil alien  chaos and mayham,battle  los angeles,The Earth is attacked by unknown forces  As people everywhere watch the world s great cities fall  Los Angeles becomes the last stand for mankind in a battle no one expected  It s up to a Marine staff sergeant and his new platoon to draw a line in the sand as they take on an enemy unlike any they ve ever encountered before ,49.199234,columbia pictures  original film  relativity media,116.0,it s not war  it s survival ,5.5,1448
585,66000000,drama  war,57212,world war i  horse  farm life  execution  trapped  alcoholic  cavalry  plowing  artillery,war horse,Follows a young man named Albert and his horse  Joey  and how their bond is broken when Joey is sold to the cavalry and sent to the trenches of World War One  Despite being too young to enlist  Albert heads to France to save his friend ,29.505574,dreamworks skg  amblin entertainment  reliance entertainment  kennedy marshall company  the,146.0,separated by war  tested by battle  bound by friendship ,7.0,992
586,70000000,war  drama  history  action,152760,world war ii  nazis  art theft  post world war ii,the monuments men,Based on the true story of the greatest treasure hunt in history  The Monuments Men is an action drama focusing on seven over the hill  out of shape museum directors  artists  architects  curators  and art historians who went to the front lines of WWII to rescue the world s artistic masterpieces from Nazi thieves and return them to their rightful owners   With the art hidden behind enemy lines  how could these guys hope to succeed ,43.873266,columbia pictures  studio babelsberg  fox 2000 pictures  smokehouse pictures  obelisk productions,118.0,it was the greatest art heist in history,5.8,1523
588,70000000,drama  crime,33909,duringcreditsstinger,wall street  money never sleeps,As the global economy teeters on the brink of disaster  a young Wall Street trader partners with disgraced former Wall Street corporate raider Gordon Gekko on a two tiered mission  To alert the financial community to the coming doom  and to find out who was responsible for the death of the young trader s mentor ,23.25645,twentieth century fox film corporation  dune entertainment  dune entertainment iii  edward r  pressman film,133.0,gordon never gives up ,5.8,493
591,70000000,adventure  fantasy  romance  family,2270,witch  based on novel  new love  prince  beauty  star  kingdom  wall  falling star  royalty  unrequited love  good vs evil  fratricide,stardust,In a countryside town bordering on a magical land  a young man makes a promise to his beloved that he ll retrieve a fallen star by venturing into the magical realm  His journey takes him into a world beyond his wildest dreams and reveals his true identity ,48.032734,paramount pictures  ingenious film partners  di bonaventura pictures  marv films  vaughn productions,127.0,this summer a star falls  the chase begins ,7.1,1184
593,70000000,comedy  drama,44564,adultery  infidelity  secret  investigation  friendship  partner  love  friends  dilemma  cheating on partner  best friend,the dilemma,Longtime friends Ronny and Nick are partners in an auto design firm  They are hard at work on a presentation for a dream project that would really launch their company  Then Ronny spots Nick s wife out with another man  and in the process of investigating the possible affair  he learns that Nick has a few secrets of his own  As the presentation nears  Ronny agonizes over what might happen if the truth gets out ,14.780634,imagine entertainment  universal pictures  spyglass entertainment  wild west picture show productions,111.0,two best friends  nothing could come between them    or could it ,5.2,304
597,70000000,fantasy  action  horror,52520,vampire  daughter  hybrid  child vampire  werewolf  imax  lab experiment  werewolf child  fang vamp,underworld  awakening,After being held in a coma like state for fifteen years  vampire Selene learns that she has a fourteen year old vampire Lycan hybrid daughter named Nissa  and when she finds her  they must stop BioCom from creating super Lycans that will kill them all ,58.401204,lakeshore entertainment  saturn films  screen gems  sketch films  uw4 productions,88.0,vengeance returns,6.1,1862
598,75000000,comedy  drama  music  romance,80585,musical  rocker  teenager  young love  rock sta,rock of ages,A small town girl and a city boy meet on the Sunset Strip  while pursuing their Hollywood dreams ,23.515938,new line cinema  offspring entertainment  corner store entertainment  material pictures,123.0,nothin  but a good time,6.0,385
604,75000000,adventure  animation  action  comedy  family,12610,cold  flu  lethal virus  construction worker,osmosis jones,A policeman white blood cell  with the help of a cold pill  must stop a deadly virus from destroying the human they live in  Frank ,10.54544,conundrum entertainment  warner bros  animation  warner bros ,95.0,every body needs a hero,5.9,228
605,70000000,animation  music  family,59981,,legends of oz  dorothy s return,Dorothy wakes up in post tornado Kansas  only to be whisked back to Oz to try to save her old friends the Scarecrow  the Lion  the Tin Man and Glinda from a devious new villain  the Jester  Wiser the owl  Marshal Mallow  China Princess and Tugg the tugboat join Dorothy on her latest magical journey through the colorful landscape of Oz to restore order and happiness to Emerald City ,6.682006,prana animation studios  summertime entertainment,88.0,there s trouble in oz   ,5.9,43
606,70000000,crime  drama  mystery,201088,terrorist  technology  anti hero  hacker  computer virus  national security agency  nsa   race against time  computer  malaysia  nuclear power plant  suspense  betrayal  conspiracy  on the run  fugitive  shootout  hacking  terrorism  cat and mouse  one against many  computer hacker  no opening credits  terrorist plot  stock exchange  cybercrime  cyber terrorism  chinese military  cyber terrorist  cyber thriller,blackhat,A man is released from prison to help American and Chinese authorities pursue a mysterious cyber criminal  The dangerous search leads them from Chicago to Hong Kong ,46.832372,universal pictures  forward pass  legendary pictures,133.0,we are no longer in control ,5.1,826
607,70000000,mystery  action  thriller  science fiction  adventure,5137,london england  himalaya  journalist  killer robot  computer war  robot,sky captain and the world of tomorrow,When gigantic robots attack New York City   Sky Captain  uses his private air force to fight them off  His ex girlfriend  reporter Polly Perkins  has been investigating the recent disappearance of prominent scientists  Suspecting a link between the global robot attacks and missing men  Sky Captain and Polly decide to work together  They fly to the Himalayas in pursuit of the mysterious Dr  Totenkopf  the mastermind behind the robots ,24.664776,paramount pictures  natural nylon entertainment  riff raff film productions  filmauro  blue flower productions  brooklyn films ii,107.0,who will save us ,5.7,439
609,50000000,action  thriller,107846,prison  muslim  ship  mystery  science fiction  escape  crime  prison escape  cia agent,escape plan,Ray Breslin is the world s foremost authority on structural security  After analyzing every high security prison and learning a vast array of survival skills so he can design escape proof prisons  his skills are put to the test  He s framed and incarcerated in a master prison he designed himself  He needs to escape and find the person who put him behind bars ,44.478043,summit entertainment  atmosphere entertainment mm  emmett furla films  mark canton productions  envision entertainment  boies   schiller film group  knightsbridge entertainment,115.0,no one breaks out alone ,6.7,1659
611,68000000,thriller  action  drama,4614,cia  terrorist  atomic bomb  cold war  nuclear explosion  jack ryan,the sum of all fears,When the president of Russia suddenly dies  a man whose politics are virtually unknown succeeds him  The change in political leaders sparks paranoia among American CIA officials  so CIA director Bill Cabot recruits a young analyst to supply insight and advice on the situation  Then the unthinkable happens  a nuclear bomb explodes in a U S  city  and America is quick to blame the Russians ,22.392544,paramount pictures  mace neufeld productions  mfp munich film partners gmbh   company i  produktions kg  s o a f  productions  mel s cite du cinema,124.0,27 000 nuclear weapons  one is missing ,5.9,437
612,68000000,adventure  fantasy  drama  romance,24021,vampire  graduation  bite  immortality  werewolf  fang vamp,the twilight saga  eclipse,Bella once again finds herself surrounded by danger as Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge  In the midst of it all  she is forced to choose between her love for Edward and her friendship with Jacob  knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf  With her graduation quickly approaching  Bella is confronted with the most important decision of her life ,107.069763,summit entertainment  maverick films  imprint entertainment  sunswept entertainment  temple hill entertainment,124.0,it all begins     with a choice ,5.8,2301
614,69000000,animation  family,20352,adoptive father  orphanage  life s dream  rivalry  stealing  ballet  little girl  orphan  father daughter relationship  tomboy  mother son relationship  intelligent  kids  evil doctor  duringcreditsstinger  minions  supervillain  3d  despicable  cattivissimo,despicable me,Villainous Gru lives up to his reputation as a despicable  deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky  But he has a tough time staying on task after three orphans land in his care ,113.858273,universal pictures  illumination entertainment,95.0,superbad  superdad ,7.1,6478
617,70000000,adventure  drama  history,26428,christianity  philosophy  egypt  new love  war  cult  historical figure  history  sword fight  ancient world  destiny  fall in love  hypatia  misogyny  persecution  library of alexandria  political unrest  impossible love  false history  power relations  unfulfillment  master and servant  love and romance  unfulfilled love,agora,A historical drama set in Roman Egypt  concerning philosopher Hypatia of Alexandria and her relationship with her slave Davus  who is torn between his love for her and the possibility of gaining his freedom by joining the rising tide of Christianity ,18.888806,himenóptero  telecinco cinema  mod producciones  nimar studios  canal  españa  instituto de la cinematografía y de las artes audiovisuales  icaa   government of malta,127.0,alexandria  egypt  391 a d  the world changed forever ,6.9,395
619,36000000,comedy,48988,wife husband relationship  daydream  marriage  freedom  friends,hall pass,When best buds Rick and Fred begin to show signs of restlessness at home  their wives take a bold approach to revitalize their marriages  they grant the guys a  hall pass   one week of freedom to do whatever they want  At first  it seems like a dream come true  but they quickly discover that their expectations of the single life   and themselves   are completely and hilariously out of sync with reality ,27.11589,new line cinema  conundrum entertainment,105.0,one week  no rules,5.4,611
621,80000000,action  drama  history  thriller,300673,coast guard  based on true story  survival  rescue mission  storm at sea  sinking ship  1950s  3d,the finest hours,The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952 ,28.223664,walt disney pictures  whitaker entertainment  bergsten music  red hawk entertainment,114.0,32 survivors  room for 12 ,6.3,588
622,70000000,action  drama  thriller,12113,terror  falsely accused  based on novel  dying and death  jordan  dubai  intelligence agency  beating,body of lies,The CIA s hunt is on for the mastermind of a wave of terrorist attacks  Roger Ferris is the agency s man on the ground  moving from place to place  scrambling to stay ahead of ever shifting events  An eye in the sky   a satellite link   watches Ferris   At the other end of that real time link is the CIA s Ed Hoffman  strategizing events from thousands of miles away  And as Ferris nears the target  he discovers trust can be just as dangerous as it is necessary for survival ,37.507136,scott free productions  de line pictures  warner bros ,128.0,trust no one  deceive everyone ,6.5,895
623,69000000,comedy,38778,mouse  idiot  mind control  taxidermy  aftercreditsstinger  duringcreditsstinger,dinner for schmucks,Rising executive Tim Wagner works for a boss who hosts a monthly dinner in which the guest who brings the biggest buffoon gets a career boost  Tim plans on not attending until he meets Barry  a man who builds dioramas using stuffed mice  Barry s blundering but good intentions send Tim s life into a downward spiral  threatening a major business deal and possibly scuttling Tim s engagement to his fiancee ,11.023691,paramount pictures  dreamworks skg  spyglass entertainment  everyman pictures  reliance big entertainment  parkes macdonald productions,114.0,takes one to know one ,5.5,531
625,66000000,romance  drama  mystery,1844,london england  new year s eve  skyscraper  burglar  distrust  undercover  blackmail  nudity  thief  heist  older man younger woman relationship  art thief  criminal  art theft  millennium  manhattan  new york city  gala  kuala lumpur malaysia,entrapment,Two thieves  who travel in elegant circles  try to outsmart each other and  in the process  end up falling in love ,25.877794,fountainbridge films  regency enterprises,112.0,the trap is set ,6.0,602
631,59000000,animation  comedy  family  adventure,425,human evolution  parents kids relationship  squirrel  ice  loss of child  mammoth  sloth  dying and death  stone age  prehistoric  saber toothed tiger  cavemen  prehistoric creature  prehistoric adventure  prehistoric times  prehistoric man,ice age,With the impending ice age almost upon them  a mismatched trio of prehistoric critters   Manny the woolly mammoth  Diego the saber toothed tiger and Sid the giant sloth   find an orphaned infant and decide to return it to its human parents  Along the way  the unlikely allies become friends but  when enemies attack  their quest takes on far nobler aims ,99.561972,twentieth century fox film corporation  blue sky studios  twentieth century fox animation,81.0,they came  they thawed  they conquered ,7.1,3857
632,68000000,drama  horror  science fiction  thriller,6171,religion and supernatural,dreamcatcher,Four boyhood pals perform a heroic act and are changed by the powers they gain in return  Years later  on a hunting trip in the Maine woods  they re overtaken by a vicious blizzard that harbors an ominous presence  Challenged to stop an alien force  the friends must first prevent the slaughter of innocent civilians by a military vigilante     and then overcome a threat to the bond that unites the four of them ,26.792794,village roadshow pictures  castle rock entertainment  npv entertainment  kasdan pictures  wv films ii,136.0,a circle of friendship  a web of mystery  a pattern of fear ,5.3,567
634,63000000,action  science fiction,603,saving the world  artificial intelligence  man vs machine  philosophy  prophecy  martial arts  self sacrifice  fight  insurgence  virtual reality  dystopia  truth  cyberpunk  woman director  messiah  gnosticism,the matrix,Set in the 22nd century  The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth ,104.309993,village roadshow pictures  groucho ii film partnership  silver pictures  warner bros ,136.0,welcome to the real world ,7.9,8907
637,61000000,drama  music  romance,82695,france  robbery  brothel  mayor  star  musical  arrest  army  rebellion  wedding  falling in love  corpse  parole  convict  girl disguised as boy,les misérables,An adaptation of the successful stage musical based on Victor Hugo s classic novel set in 19th century France  in which a paroled prisoner named Jean Valjean seeks redemption ,48.356214,universal pictures  relativity media  cameron mackintosh  working title films,157.0,fight  dream  hope  love ,7.1,1884
638,65000000,comedy  romance,9489,romantic comedy  online dating  woman director,you ve got mail,Book superstore magnate  Joe Fox and independent book shop owner  Kathleen Kelly fall in love in the anonymity of the Internet   both blissfully unaware that he s putting her out of business ,28.540267,warner bros ,119.0,someone you pass on the street may already be the love of your life ,6.3,838
641,65000000,comedy  drama,41733,highway  slacker  hitchhiker  wallet  sunglasses  rest stop  vicodin  waffle,due date,Peter Highman must scramble across the US in five days to be present for the birth of his first child  He gets off to a bad start when his wallet and luggage are stolen  and put on the  no fly  list  Peter embarks on a terrifying journey when he accepts a ride from an actor ,43.865294,legendary pictures  green hat films  warner bros ,95.0,leave your comfort zone,6.2,1685
642,65000000,drama  war,227306,world war ii  prisoners of war  biography  sport  war  athlete  woman director  olympic athlete,unbroken,A chronicle of the life of Louis Zamperini  an Olympic runner who was taken prisoner by Japanese forces during World War II ,43.055253,legendary pictures  3 arts entertainment  jolie pas,137.0,survival  resilience  redemption ,7.3,1400
643,65000000,action  adventure  thriller,5551,nasa  space travel  astronaut  elderly,space cowboys,Frank Corvin   Hawk  Hawkins  Jerry O Neill and  Tank  Sullivan were hotdog members of Project Daedalus  the Air Force s test program for space travel  but their hopes were dashed in 1958 with the formation of NASA and the use of trained chimps  They blackmail their way into orbit when Russia s mysterious  Ikon  communications satellite s orbit begins to degrade and threatens to crash to Earth ,15.772081,village roadshow pictures  malpaso productions  mad chance  warner bros   clipsal films  digital image associates,130.0,space will never be the same ,6.3,403
646,65000000,fantasy  comedy  family,4244,age difference  midlife crisis  suppressed past  self awareness  childhood memory  humor  changing the past or future,the kid,Powerful businessman Russ Duritz is self absorbed and immersed in his work  But by the magic of the moon  he meets Rusty  a chubby  charming 8 year old version of himself who can t believe he could turn out so badly    with no life and no dog  With Rusty s help  Russ is able to reconcile the person he used to dream of being with the man he s actually become ,18.281798,walt disney pictures,104.0,nobody ever grows up quite like they imagined ,6.0,238
649,65000000,comedy,76493,kurdish,the dictator,The heroic story of a dictator who risks his life to ensure that democracy would never come to the country he so lovingly oppressed ,31.349143,paramount pictures,83.0,kurd,5.9,1743
650,65000000,mystery  drama,345,life and death  sexual obsession  free love  heterosexual  christmas party  eroticism  orgy  masked ball  marijuana  illegal prostitution,eyes wide shut,After Dr  Bill Hartford s wife  Alice  admits to having sexual fantasies about a man she met  Bill becomes obsessed with having a sexual encounter  He discovers an underground sexual group and attends one of their meetings    and quickly discovers that he is in over his head ,27.870312,hobby films  pole star  stanley kubrick productions  warner bros ,159.0,cruise  kidman  kubrick ,7.1,1234
652,50100000,romance  comedy  crime  drama,256591,seduction  con man  femme fatale  deception  rivalry  con artist,focus,Nicky  a veteran con artist  takes a novice named Jess under his wing  While Nicky teaches Jess the tricks of the trade  the pair become romantically involved  but  when Jess gets uncomfortably close  Nicky ends their relationship  Three years later  Nicky is in Buenos Aires working a very dangerous scheme when Jess    now an accomplished femme fatale    unexpectedly shows up  Her appearance throws Nicky for a loop at a time when he cannot afford to be off his game ,59.634029,kramer   sigman films  ratpac dune entertainment  zaftig films,105.0,never drop the con ,6.7,2542
653,65000000,action  comedy  romance,59962,love triangle  friendship  dating  sushi bar  exploding airplane  online dating  stable  karate class  dog shelter,this means war,Two top CIA operatives wage an epic battle against one another after they discover they are dating the same woman ,38.994297,dune entertainment  overbrook films  robert simonds productions,103.0,it s spy against spy,5.9,1389
654,65000000,science fiction  action  horror  thriller  adventure  fantasy,36648,fbi  dracula  fistfight  vampire hunter  superhero  based on comic book  martial arts master  motorcycle  katana sword  blade  loss of friend  super villain  vampire slayer  fast motion scene  female vampire,blade  trinity,For years  Blade has fought against the vampires in the cover of the night  But now  after falling into the crosshairs of the FBI  he is forced out into the daylight  where he is driven to join forces with a clan of human vampire hunters he never knew existed   The Nightstalkers  Together with Abigail and Hannibal  two deftly trained Nightstalkers  Blade follows a trail of blood to the ancient creature that is also hunting him  the original vampire  Dracula ,49.660055,new line cinema  amen ra films  shawn danielle productions ltd   imaginary forces  marvel enterprises  peter frankfurt productions,123.0,the final hunt begins ,5.7,1252
657,65000000,action  horror  science fiction,71679,mutant  dystopia  sequel  conspiracy  tokyo japan  zombie  based on video game  moscow  hand to hand combat  virus  plague  pandemic  mega corporation,resident evil  retribution,The Umbrella Corporation s deadly T virus continues to ravage the Earth  transforming the global population into legions of the flesh eating Undead  The human race s last and only hope  Alice  awakens in the heart of Umbrella s most clandestine operations facility and unveils more of her mysterious past as she delves further into the complex  Without a safe haven  Alice continues to hunt those responsible for the outbreak  a chase that takes her from Tokyo to New York  Washington  D C  and Moscow  culminating in a mind blowing revelation that will force her to rethink everything that she once thought to be true  Aided by new found allies and familiar friends  Alice must fight to survive long enough to escape a hostile world on the brink of oblivion  The countdown has begun ,6.227675,davis films,95.0,the ultimate battle begins,5.6,1600
